"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Disability_Status","Service_Type","Client_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"19A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Total recurrent real expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","331.8","526.7","460.4","167.1","91.5","54.6","36.4","86.5","1754.9"
"19A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Real expenditure per person in the residential population","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","38.83","75.12","81.94","55.53","48.40","94.75","75.63","329.84","64.05"
"19A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Service delivery expenditure","","","","Derived from State and territory governments (unpublished)","%","96.0","99.0","97.2","97.4","89.8","94.0","96.3","87.0","96.5"
"19A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Administrative expenditure","","","","Derived from State and territory governments (unpublished)","%","4.0","1.0","2.8","2.6","10.2","6.0","3.7","13.0","3.5"
"19A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Total recurrent real expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","328.1","538.7","325.8","125.5","95.8","54.6","37.4","72.8","1578.7"
"19A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Real expenditure per person in the residential population","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","38.90","78.01","58.93","42.87","51.31","95.00","79.61","286.93","58.54"
"19A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Service delivery expenditure","","","","Derived from State and territory governments (unpublished)","%","95.4","99.0","98.0","96.5","87.3","94.7","96.6","80.7","96.1"
"19A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Administrative expenditure","","","","Derived from State and territory governments (unpublished)","%","4.6","1.0","2.0","3.5","12.7","5.3","3.4","19.3","3.9"
"19A.1","2022-23","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Total recurrent real expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","349.4","551.0","233.1","122.3","102.6","50.7","38.7","68.2","1515.9"
"19A.1","2022-23","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Real expenditure per person in the residential population","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","42.40","82.18","43.33","43.30","55.96","88.64","84.04","272.45","57.71"
"19A.1","2022-23","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Service delivery expenditure","","","","Derived from State and territory governments (unpublished)","%","95.2","99.0","97.7","96.9","87.3","96.8","95.9","73.8","95.7"
"19A.1","2022-23","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Administrative expenditure","","","","Derived from State and territory governments (unpublished)","%","4.8","1.0","2.3","3.1","12.7","3.2","4.1","26.2","4.3"
"19A.1","2021-22","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Total recurrent real expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","363.7","594.4","191.9","114.9","106.3","45.9","39.0","62.4","1518.6"
"19A.1","2021-22","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Real expenditure per person in the residential population","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","44.93","90.61","36.44","41.60","58.87","80.60","86.09","250.21","58.94"
"19A.1","2021-22","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Service delivery expenditure","","","","Derived from State and territory governments (unpublished)","%","96.7","99.1","97.3","97.7","86.2","96.7","96.6","87.0","96.7"
"19A.1","2021-22","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Administrative expenditure","","","","Derived from State and territory governments (unpublished)","%","3.3","0.9","2.7","2.3","13.8","3.3","3.4","13.0","3.3"
"19A.1","2020-21","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Total recurrent real expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","308.7","595.8","191.8","105.7","97.5","40.4","31.3","56.2","1427.2"
"19A.1","2020-21","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Real expenditure per person in the residential population","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","38.14","90.72","36.99","38.73","54.33","71.81","69.86","226.81","55.68"
"19A.1","2020-21","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Service delivery expenditure","","","","Derived from State and territory governments (unpublished)","%","96.3","99.1","97.0","98.0","85.9","96.4","97.2","89.6","96.8"
"19A.1","2020-21","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Administrative expenditure","","","","Derived from State and territory governments (unpublished)","%","3.7","0.9","3.0","2.0","14.1","3.6","2.8","10.4","3.2"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People who are in improvised dwellings; tents or sleeping out","","","ABS Census of Population and Housing: Estimating Homelessness","rate","1.2","1.6","4.0","8.7","1.8","4.1","1.3","28.5","3.0"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People in supported accommodation for the homeless","","","ABS Census of Population and Housing: Estimating Homelessness","rate","6.2","12.0","8.0","6.1","14.0","9.5","19.0","76.1","9.6"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People staying temporarily with other households","","","ABS Census of Population and Housing: Estimating Homelessness","rate","5.1","3.9","9.6","8.0","7.5","10.5","5.9","28.1","6.5"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People staying in boarding houses","","","ABS Census of Population and Housing: Estimating Homelessness","rate","11.0","13.2","5.7","2.4","3.7","4.7","3.0","2.7","8.7"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People in other temporary lodging","","","ABS Census of Population and Housing: Estimating Homelessness","rate","1.8","2.4","0.9","0.4","1.4","0.5","0.1","1.9","1.5"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People living in 'severely' crowded dwellings","","","ABS Census of Population and Housing: Estimating Homelessness","rate","18.1","13.9","15.2","11.0","13.2","12.7","9.8","426.0","18.8"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","Total","","","ABS Census of Population and Housing: Estimating Homelessness","rate","43.4","47.1","43.5","36.6","41.7","42.1","39.1","563.6","48.2"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People who are in improvised dwellings; tents or sleeping out","","","ABS Census of Population and Housing: Estimating Homelessness","no.","963","1023","2050","2315","323","231","59","662","7636"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People in supported accommodation for the homeless","","","ABS Census of Population and Housing: Estimating Homelessness","no.","5043","7831","4137","1614","2501","531","862","1769","24291"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People staying temporarily with other households","","","ABS Census of Population and Housing: Estimating Homelessness","no.","4100","2549","4968","2125","1337","588","269","653","16597"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People staying in boarding houses","","","ABS Census of Population and Housing: Estimating Homelessness","no.","8842","8599","2946","631","658","261","138","62","22137"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People in other temporary lodging","","","ABS Census of Population and Housing: Estimating Homelessness","no.","1427","1583","485","107","257","29","6","44","3934"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People living in 'severely' crowded dwellings","","","ABS Census of Population and Housing: Estimating Homelessness","no.","14640","9068","7839","2935","2352","709","447","9904","47895"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","Total","","","ABS Census of Population and Housing: Estimating Homelessness","no.","35011","30660","22428","9729","7428","2350","1777","13104","122494"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People who are in improvised dwellings; tents or sleeping out","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","2.8","3.3","9.1","23.8","4.3","9.8","3.3","5.1","6.2"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People in supported accommodation for the homeless","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","14.4","25.5","18.4","16.6","33.7","22.6","48.5","13.5","19.8"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People staying temporarily with other households","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","11.7","8.3","22.2","21.8","18.0","25.0","15.1","5.0","13.5"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People staying in boarding houses","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","25.3","28.0","13.1","6.5","8.9","11.1","7.8","0.5","18.1"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People in other temporary lodging","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","4.1","5.2","2.2","1.1","3.5","1.2","0.3","0.3","3.2"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People living in 'severely' crowded dwellings","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","41.8","29.6","35.0","30.2","31.7","30.2","25.2","75.6","39.1"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","Total","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People who are in improvised dwellings; tents or sleeping out","","","ABS Census of Population and Housing: Estimating Homelessness","rate","3.5","1.9","3.7","4.4","2.3","2.7","1.4","48.0","3.5"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People in supported accommodation for the homeless","","","ABS Census of Population and Housing: Estimating Homelessness","rate","7.8","12.1","7.9","4.3","8.5","11.3","20.0","27.8","9.1"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People staying temporarily with other households","","","ABS Census of Population and Housing: Estimating Homelessness","rate","7.2","5.2","10.2","7.9","7.9","9.4","6.9","18.1","7.6"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People staying in boarding houses","","","ABS Census of Population and Housing: Estimating Homelessness","rate","9.2","7.4","7.7","4.0","5.4","2.7","2.4","21.2","7.5"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People in other temporary lodging","","","ABS Census of Population and Housing: Estimating Homelessness","rate","0.3","0.2","0.4","0.2","0.2","0.5","0.1","0.8","0.3"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People living in 'severely' crowded dwellings","","","ABS Census of Population and Housing: Estimating Homelessness","rate","22.5","15.1","16.2","15.6","12.8","5.2","9.3","483.7","21.8"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","Total","","","ABS Census of Population and Housing: Estimating Homelessness","rate","50.4","41.9","46.1","36.4","37.1","31.8","40.2","599.6","49.8"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People who are in improvised dwellings; tents or sleeping out","","","ABS Census of Population and Housing: Estimating Homelessness","no.","2588","1123","1736","1083","387","139","54","1097","8200"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People in supported accommodation for the homeless","","","ABS Census of Population and Housing: Estimating Homelessness","no.","5861","7157","3722","1054","1433","574","793","636","21235"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People staying temporarily with other households","","","ABS Census of Population and Housing: Estimating Homelessness","no.","5350","3091","4796","1950","1323","479","275","415","17725"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People staying in boarding houses","","","ABS Census of Population and Housing: Estimating Homelessness","no.","6869","4406","3600","991","906","139","97","486","17503"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People in other temporary lodging","","","ABS Census of Population and Housing: Estimating Homelessness","no.","222","108","211","51","31","25","3","18","678"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People living in 'severely' crowded dwellings","","","ABS Census of Population and Housing: Estimating Homelessness","no.","16821","8930","7601","3871","2140","267","370","11065","51088"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","Total","","","ABS Census of Population and Housing: Estimating Homelessness","no.","37715","24817","21671","9005","6224","1622","1596","13717","116427"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People who are in improvised dwellings; tents or sleeping out","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","6.9","4.5","8.0","12.0","6.2","8.6","3.4","8.0","7.0"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People in supported accommodation for the homeless","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","15.5","28.8","17.2","11.7","23.0","35.4","49.7","4.6","18.2"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People staying temporarily with other households","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","14.2","12.5","22.1","21.7","21.3","29.5","17.2","3.0","15.2"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People staying in boarding houses","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","18.2","17.8","16.6","11.0","14.6","8.6","6.1","3.5","15.0"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People in other temporary lodging","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","0.6","0.4","1.0","0.6","0.5","1.5","0.2","0.1","0.6"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People living in 'severely' crowded dwellings","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","44.6","36.0","35.1","43.0","34.4","16.5","23.2","80.7","43.9"
"19A.2","2016","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","Total","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People who are in improvised dwellings; tents or sleeping out","","","ABS Census of Population and Housing: Estimating Homelessness","rate","2.8","2.0","3.7","4.1","1.6","3.2","0.8","40.0","3.2"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People in supported accommodation for the homeless","","","ABS Census of Population and Housing: Estimating Homelessness","rate","7.1","14.6","8.7","4.2","10.1","9.7","30.9","26.7","9.9"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People staying temporarily with other households","","","ABS Census of Population and Housing: Estimating Homelessness","rate","7.1","6.2","10.0","9.7","8.7","10.1","8.9","20.2","8.1"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People staying in boarding houses","","","ABS Census of Population and Housing: Estimating Homelessness","rate","8.4","7.3","6.9","4.2","5.1","3.8","0.2","13.9","6.9"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People in other temporary lodging","","","ABS Census of Population and Housing: Estimating Homelessness","rate","0.4","0.2","0.5","0.3","0.2","0.4","0.1","0.9","0.3"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People living in 'severely' crowded dwellings","","","ABS Census of Population and Housing: Estimating Homelessness","rate","14.0","11.2","14.3","18.6","10.7","3.7","7.8","621.7","19.2"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","Total","","","ABS Census of Population and Housing: Estimating Homelessness","rate","39.7","41.7","43.9","41.1","36.4","31.0","48.7","723.7","47.6"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People who are in improvised dwellings; tents or sleeping out","","","ABS Census of Population and Housing: Estimating Homelessness","no.","1924","1090","1584","929","258","156","28","848","6810"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People in supported accommodation for the homeless","","","ABS Census of Population and Housing: Estimating Homelessness","no.","4924","7840","3787","931","1620","479","1103","566","21258"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People staying temporarily with other households","","","ABS Census of Population and Housing: Estimating Homelessness","no.","4937","3323","4311","2170","1390","501","319","428","17374"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People staying in boarding houses","","","ABS Census of Population and Housing: Estimating Homelessness","no.","5793","3933","2987","936","808","189","6","295","14944"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People in other temporary lodging","","","ABS Census of Population and Housing: Estimating Homelessness","no.","244","95","196","75","27","21","3","20","682"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People living in 'severely' crowded dwellings","","","ABS Census of Population and Housing: Estimating Homelessness","no.","9655","6022","6187","4153","1714","183","278","13170","41370"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","Total","","","ABS Census of Population and Housing: Estimating Homelessness","no.","27479","22306","19039","9191","5816","1537","1738","15330","102439"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People who are in improvised dwellings; tents or sleeping out","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","7.0","4.9","8.3","10.1","4.4","10.1","1.6","5.5","6.6"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People in supported accommodation for the homeless","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","17.9","35.1","19.9","10.1","27.9","31.2","63.5","3.7","20.8"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People staying temporarily with other households","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","18.0","14.9","22.6","23.6","23.9","32.6","18.4","2.8","17.0"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People staying in boarding houses","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","21.1","17.6","15.7","10.2","13.9","12.3","0.3","1.9","14.6"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People in other temporary lodging","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","0.9","0.4","1.0","0.8","0.5","1.4","0.2","0.1","0.7"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","People living in 'severely' crowded dwellings","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","35.1","27.0","32.5","45.2","29.5","11.9","16.0","85.9","40.4"
"19A.2","2011","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Proportion","Total","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"19A.3","2021","Homelessness; xxx","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","","","Aboriginal and Torres Strait Islander people","","People experiencing homelessness; by equity group","","Rate per 10000 people in the population","","","","ABS Census of Population and Housing: Estimating Homelessness","rate","90.2","168.9","201.0","380.9","326.8","81.8","140.8","1864.5","306.8"
"19A.3","2021","Homelessness; xxx","All ages","All people","Indigenous status not stated","All areas","","","","","People experiencing homelessness; by equity group","","Rate per 10000 people in the population","","","","ABS Census of Population and Housing: Estimating Homelessness","rate","120.3","203.1","79.7","64.6","143.2","107.5","211.4","351.9","129.6"
"19A.3","2021","Homelessness; xxx","All ages","All people","All people","All areas","People with disability","","People with disability","","People experiencing homelessness; by equity group","","Rate per 10000 people in the population","","","","ABS Census of Population and Housing: Estimating Homelessness","rate","31.4","45.3","42.8","40.0","35.2","41.0","33.2","597.6","41.9"
"19A.3","2021","Homelessness; xxx","All ages","All people","All people","All areas","Disability status not stated","","","","People experiencing homelessness; by equity group","","Rate per 10000 people in the population","","","","ABS Census of Population and Housing: Estimating Homelessness","rate","151.2","234.5","113.7","198.5","172.4","141.7","206.1","781.1","180.1"
"19A.3","2021","Homelessness; xxx","All ages","Males","All people","All areas","","","","","People experiencing homelessness; by equity group","","Rate per 10000 people in the population","","","","ABS Census of Population and Housing: Estimating Homelessness","rate","51.1","55.2","49.2","40.4","45.0","48.4","46.4","538.2","54.6"
"19A.3","2021","Homelessness; xxx","All ages","Females","All people","All areas","","","","","People experiencing homelessness; by equity group","","Rate per 10000 people in the population","","","","ABS Census of Population and Housing: Estimating Homelessness","rate","35.8","39.3","38.0","32.8","38.5","36.1","31.9","589.2","41.9"
"19A.3","2021","Homelessness; xxx","All ages","All people","All people","All areas","","","","","People experiencing homelessness; by equity group","","Rate per 10000 people in the population","","","","ABS Census of Population and Housing: Estimating Homelessness","rate","43.4","47.1","43.5","36.6","41.7","42.1","39.1","563.6","48.2"
"19A.3","2021","Homelessness; xxx","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","","","Aboriginal and Torres Strait Islander people","","People experiencing homelessness; by equity group","","Number","","","","ABS Census of Population and Housing: Estimating Homelessness","no.","2508","1109","4769","3378","1391","247","126","11394","24930"
"19A.3","2021","Homelessness; xxx","All ages","All people","Indigenous status not stated","All areas","","","","","People experiencing homelessness; by equity group","","Number","","","","ABS Census of Population and Housing: Estimating Homelessness","no.","4687","5882","2260","904","997","278","339","660","15991"
"19A.3","2021","Homelessness; xxx","All ages","All people","All people","All areas","People with disability","","People with disability","","People experiencing homelessness; by equity group","","Number","","","","ABS Census of Population and Housing: Estimating Homelessness","no.","1459","1731","1324","489","418","156","69","496","6136"
"19A.3","2021","Homelessness; xxx","All ages","All people","All people","All areas","Disability status not stated","","","","People experiencing homelessness; by equity group","","Number","","","","ABS Census of Population and Housing: Estimating Homelessness","no.","7241","8230","3790","3387","1449","426","400","1966","26890"
"19A.3","2021","Homelessness; xxx","All ages","Males","All people","All areas","","","","","People experiencing homelessness; by equity group","","Number","","","","ABS Census of Population and Housing: Estimating Homelessness","no.","20377","17670","12491","5339","3951","1325","1040","6321","68516"
"19A.3","2021","Homelessness; xxx","All ages","Females","All people","All areas","","","","","People experiencing homelessness; by equity group","","Number","","","","ABS Census of Population and Housing: Estimating Homelessness","no.","14641","12989","9934","4389","3477","1025","733","6779","53974"
"19A.3","2021","Homelessness; xxx","All ages","All people","All people","All areas","","","","","People experiencing homelessness; by equity group","","Number","","","","ABS Census of Population and Housing: Estimating Homelessness","no.","35011","30660","22428","9729","7428","2350","1777","13104","122494"
"19A.3","2021","Homelessness; xxx","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","","","Aboriginal and Torres Strait Islander people","","People experiencing homelessness; by equity group","","Proportion","","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","7.2","3.6","21.3","34.7","18.7","10.5","7.1","87.0","20.4"
"19A.3","2021","Homelessness; xxx","All ages","All people","Indigenous status not stated","All areas","","","","","People experiencing homelessness; by equity group","","Proportion","","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","13.4","19.2","10.1","9.3","13.4","11.8","19.1","5.0","13.1"
"19A.3","2021","Homelessness; xxx","All ages","All people","All people","All areas","People with disability","","People with disability","","People experiencing homelessness; by equity group","","Proportion","","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","4.2","5.6","5.9","5.0","5.6","6.6","3.9","3.8","5.0"
"19A.3","2021","Homelessness; xxx","All ages","All people","All people","All areas","Disability status not stated","","","","People experiencing homelessness; by equity group","","Proportion","","","","Derived from ABS Census of Population and Housing: Estimating Homelessness","%","20.7","26.8","16.9","34.8","19.5","18.1","22.5","15.0","22.0"
