"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Disability_Status","Housing_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aust"
"18A.1","2020-21","Recurrent expenditure","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","55.5","..","46.3","..","16.6","1.6","..","99.4","","219.6"
"18A.1","2020-21","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1592.5","1044.6","755.7","690.0","512.7","197.2","165.7","250.6","","5209.2"
"18A.1","2020-21","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Capital expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","654.3","757.1","374.7","64.7","161.5","89.3","24.7","274.2","","2400.6"
"18A.1","2020-21","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Total","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","2246.8","1801.6","1130.4","754.7","674.3","286.6","190.5","524.8","","7609.7"
"18A.1","2020-21","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Net recurrent expenditure","per person in the population","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","196.75","159.06","145.78","252.92","285.73","351.03","370.18","1011.32","","203.24"
"18A.1","2019-20","Recurrent expenditure","All ages","All people","All households","All areas","All households","Public housing","2024-25 dollars","Public housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1126.6","589.6","578.0","580.7","453.6","72.7","165.0","106.2","","3672.4"
"18A.1","2019-20","Recurrent expenditure","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","57.9","..","52.0","..","25.1","1.8","..","98.7","","235.5"
"18A.1","2019-20","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1517.4","796.5","822.6","763.1","589.9","173.4","170.2","208.2","","5041.2"
"18A.1","2019-20","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Capital expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","431.8","291.0","442.7","35.3","144.3","75.5","15.9","245.0","","1681.4"
"18A.1","2019-20","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Total","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1949.1","1087.5","1265.3","798.3","734.2","248.9","186.1","453.1","","6722.6"
"18A.1","2019-20","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Net recurrent expenditure","per person in the population","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","187.60","120.86","160.37","283.79","331.62","313.33","386.52","845.41","","197.54"
"18A.1","2018-19","Recurrent expenditure","All ages","All people","All households","All areas","All households","Public housing","2024-25 dollars","Public housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1224.8","575.2","585.5","571.4","337.6","73.0","160.0","112.5","","3639.9"
"18A.1","2018-19","Recurrent expenditure","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","57.6","..","54.1","..","24.0","1.9","..","123.6","","261.2"
"18A.1","2018-19","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1592.1","722.7","836.3","754.8","392.5","129.6","166.2","236.8","","4831.1"
"18A.1","2018-19","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Capital expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","436.9","323.7","409.2","20.0","197.5","71.1","7.1","320.4","","1785.9"
