"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Disability_Status","Housing_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aust"
"18A.6","2024","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings; at 30 June","Untenantable","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","64","..","9","..","15","4","..","336","428",""
"18A.6","2024","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings; at 30 June","Undergoing major redevelopment","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","5","..","19","..","4","0","..","23","51",""
"18A.6","2024","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","Rents for week of 30 June","","Total rents charged in real terms","","","","Derived from AIHW (unpublished) National Housing Assistance Data Repository; ABS Australian National Accounts: National Income Expenditure and Product","$'000","1575","..","586","..","259","27","..","1021","3468",""
"18A.6","2024","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","Rents for week of 30 June","","Total market rent value of all dwellings for which rent was charged in real terms","","","","Derived from AIHW (unpublished) National Housing Assistance Data Repository; ABS Australian National Accounts: National Income Expenditure and Product","$'000","2098","..","951","..","513","70","..","1060","4692",""
"18A.6","2024","Descriptive data","All ages","All people","All households","Major cities","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3629","..","433","..","781","..","..","..","4843",""
"18A.6","2024","Descriptive data","All ages","All people","All households","Inner regional","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","910","..","594","..","85","131","..","..","1719",""
"18A.6","2024","Descriptive data","All ages","All people","All households","Outer regional","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","556","..","1276","..","271","33","..","412","2547",""
"18A.6","2024","Descriptive data","All ages","All people","All households","Remote","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","201","..","320","..","87","0","..","1418","2026",""
"18A.6","2024","Descriptive data","All ages","All people","All households","Very remote","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","85","..","636","..","136","0","..","3875","4732",""
"18A.6","2023","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Households; at 30 June","Paying less than market rent","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","2403","..","2743","..","978","146","..","1343","7613",""
"18A.6","2023-24","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Households; at 30 June","New households assisted","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","181","..","129","..","30","5","..","429","774",""
"18A.6","2023-24","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Households; at 30 June","Relocating from one State owned and managed Indigenous housing dwelling to another","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","98","..","45","..","45","0","..","317","505",""
"18A.6","2023-24","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","Households; at 30 June","Total rent charged in real terms","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","60176","..","29698","..","13666","1216","..","62730","167486",""
"18A.6","2023","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Applicants on waitlist at 30 June","New greatest need applicants","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","795","..","6597","..","469","na","..","na","7861",""
"18A.6","2023","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Applicants on waitlist at 30 June","Total (excluding applicants for transfer)","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3715","..","6672","..","1512","np","..","3180","15079",""
"18A.6","2023","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Applicants on waitlist at 30 June","Applicants for transfer","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","1440","..","278","..","288","0","..","284","2290",""
"18A.6","2023","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings; at 30 June","Tenantable","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3686","..","3201","..","1300","161","..","5131","13479",""
"18A.6","2023","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings; at 30 June","Untenantable","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","48","..","10","..","6","3","..","396","463",""
"18A.6","2023","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings; at 30 June","Undergoing major redevelopment","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3","..","15","..","9","0","..","59","86",""
"18A.6","2023","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","Rents for week of 30 June","","Total rents charged in real terms","","","","Derived from AIHW (unpublished) National Housing Assistance Data Repository; ABS Australian National Accounts: National Income Expenditure and Product","$'000","1036","..","580","..","251","28","..","963","2857",""
"18A.6","2023","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","Rents for week of 30 June","","Total market rent value of all dwellings for which rent was charged in real terms","","","","Derived from AIHW (unpublished) National Housing Assistance Data Repository; ABS Australian National Accounts: National Income Expenditure and Product","$'000","1481","..","982","..","471","73","..","1060","4067",""
"18A.6","2023","Descriptive data","All ages","All people","All households","Major cities","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","2317","..","435","..","748","..","..","..","3500",""
"18A.6","2023","Descriptive data","All ages","All people","All households","Inner regional","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","591","..","591","..","84","131","..","..","1397",""
"18A.6","2023","Descriptive data","All ages","All people","All households","Outer regional","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","543","..","1277","..","264","33","..","404","2521",""
"18A.6","2023","Descriptive data","All ages","All people","All households","Remote","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","200","..","291","..","86","0","..","1404","1982",""
"18A.6","2023","Descriptive data","All ages","All people","All households","Very remote","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","86","..","631","..","133","0","..","3778","4628",""
"18A.6","2022","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Households; at 30 June","Paying less than market rent","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","2659","..","2776","..","1032","139","..","2374","8980",""
"18A.6","2022-23","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Households; at 30 June","New households assisted","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","140","..","111","..","35","14","..","402","702",""
"18A.6","2022-23","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Households; at 30 June","Relocating from one State owned and managed Indigenous housing dwelling to another","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","86","..","53","..","51","0","..","172","362",""
"18A.6","2022-23","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","Households; at 30 June","Total rent charged in real terms","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","46932","..","29063","..","13022","1186","..","53080","143282",""
"18A.6","2022","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Applicants on waitlist at 30 June","New greatest need applicants","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","594","..","6431","..","86","na","..","na","7111",""
"18A.6","2022","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Applicants on waitlist at 30 June","Total (excluding applicants for transfer)","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3450","..","6873","..","589","np","..","2812","13724",""
"18A.6","2022","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Applicants on waitlist at 30 June","Applicants for transfer","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","1301","..","493","..","224","0","..","206","2224",""
"18A.6","2022","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings; at 30 June","Tenantable","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4077","..","3199","..","1342","163","..","5034","13815",""
"18A.6","2022","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings; at 30 June","Untenantable","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","38","..","15","..","7","1","..","383","444",""
"18A.6","2022","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings; at 30 June","Undergoing major redevelopment","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","5","..","15","..","1","0","..","11","32",""
"18A.6","2022","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","Rents for week of 30 June","","Total rents charged in real terms","","","","Derived from AIHW (unpublished) National Housing Assistance Data Repository; ABS Australian National Accounts: National Income Expenditure and Product","$'000","1088","..","584","..","252","26","..","874","2824",""
"18A.6","2022","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","Rents for week of 30 June","","Total market rent value of all dwellings for which rent was charged in real terms","","","","Derived from AIHW (unpublished) National Housing Assistance Data Repository; ABS Australian National Accounts: National Income Expenditure and Product","$'000","1628","..","1024","..","449","60","..","1059","4222",""
"18A.6","2022","Descriptive data","All ages","All people","All households","Major cities","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","1920","..","435","..","783","..","..","..","3138",""
"18A.6","2022","Descriptive data","All ages","All people","All households","Inner regional","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","1207","..","588","..","101","140","..","..","2037",""
"18A.6","2022","Descriptive data","All ages","All people","All households","Outer regional","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","714","..","1270","..","246","24","..","439","2694",""
"18A.6","2022","Descriptive data","All ages","All people","All households","Remote","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","225","..","301","..","87","0","..","1150","1762",""
"18A.6","2022","Descriptive data","All ages","All people","All households","Very remote","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","54","..","630","..","133","0","..","3839","4656",""
"18A.6","2021","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Households; at 30 June","Paying less than market rent","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3010","..","2764","..","1177","192","..","1628","8771",""
"18A.6","2021-22","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Households; at 30 June","New households assisted","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","167","..","140","..","67","12","..","242","628",""
"18A.6","2021-22","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Households; at 30 June","Relocating from one State owned and managed Indigenous housing dwelling to another","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","98","..","51","..","45","np","..","83","277",""
"18A.6","2021-22","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","Households; at 30 June","Total rent charged in real terms","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","55361","..","30268","..","12557","1309","..","51868","151364",""
"18A.6","2021","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Applicants on waitlist at 30 June","New greatest need applicants","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","498","..","5896","..","145","na","..","na","6539",""
"18A.6","2021","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Applicants on waitlist at 30 June","Total (excluding applicants for transfer)","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","2810","..","6016","..","592","0","..","2680","12098",""
"18A.6","2021","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Applicants on waitlist at 30 June","Applicants for transfer","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","1163","..","785","..","165","1","..","175","2289",""
"18A.6","2021","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings; at 30 June","Tenantable","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4472","..","3200","..","1350","219","..","5034","14275",""
"18A.6","2021","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings; at 30 June","Untenantable","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","52","..","6","..","12","2","..","334","406",""
"18A.6","2021","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings; at 30 June","Undergoing major redevelopment","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","7","..","10","..","3","0","..","13","33",""
"18A.6","2021","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","Rents for week of 30 June","","Total rents charged in real terms","","","","Derived from AIHW (unpublished) National Housing Assistance Data Repository; ABS Australian National Accounts: National Income Expenditure and Product","$'000","1199","..","601","..","243","42","..","963","3048",""
"18A.6","2021","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","Rents for week of 30 June","","Total market rent value of all dwellings for which rent was charged in real terms","","","","Derived from AIHW (unpublished) National Housing Assistance Data Repository; ABS Australian National Accounts: National Income Expenditure and Product","$'000","1827","..","1051","..","448","78","..","1122","4524",""
"18A.6","2021","Descriptive data","All ages","All people","All households","Major cities","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","2053","..","433","..","789","..","..","..","3275",""
"18A.6","2021","Descriptive data","All ages","All people","All households","Inner regional","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","1430","..","587","..","103","189","..","..","2309",""
"18A.6","2021","Descriptive data","All ages","All people","All households","Outer regional","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","769","..","1268","..","250","32","..","436","2755",""
"18A.6","2021","Descriptive data","All ages","All people","All households","Remote","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","225","..","295","..","87","0","..","1143","1750",""
"18A.6","2021","Descriptive data","All ages","All people","All households","Very remote","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","54","..","629","..","136","0","..","3802","4621",""
"18A.6","2020-21","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Households; at 30 June","New households assisted","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","261","..","144","..","54","15","..","519","993",""
"18A.6","2020-21","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Households; at 30 June","Relocating from one State owned and managed Indigenous housing dwelling to another","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","122","..","61","..","48","5","..","65","301",""
"18A.6","2020-21","Descriptive data","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","Households; at 30 June","Total rent charged in real terms","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","60558","..","31507","..","12428","1540","..","53526","159558",""
"18A.7","2025","Descriptive data","All ages","All people","Aboriginal and Torres Strait Islander households","All areas","All households","Community housing","","Community housing","Households; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","6174","1092","1833","1304","1211","603","36","330","12583",""
"18A.7","2025","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Applicants on waitlist at 30 June","New greatest need applicants","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","na","401","31391","117","3530","33","382","0","35854",""
"18A.7","2025","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Applicants on waitlist at 30 June","Total (excluding applicants for transfer)","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","na","1652","31496","171","13477","88","588","85","47557",""
"18A.7","2025","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Applicants on waitlist at 30 June","Applicants for transfer","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","na","205","5776","227","0","0","17","0","6225",""
"18A.7","2025","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Dwellings; at 30 June","Tenantable","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","49298","17914","12920","7362","12751","10258","1097","878","112478",""
"18A.7","2025","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Dwellings; at 30 June","Untenantable","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","640","1196","238","249","259","172","126","28","2908",""
"18A.7","2025","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","2024-25 dollars","Community housing","Total rents charged for week (at 30 June) in real terms; where both rent charged and household income are known","","","","","","Derived from AIHW (unpublished) National Housing Assistance Data Repository; ABS Australian National Accounts: National Income Expenditure and Product","$'000","8909","2796","1485","1012","2051","1390","113","91","17847",""
"18A.7","2025","Descriptive data","All ages","All people","All households","Major cities","All households","Community housing","","Community housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","35287","15699","7429","6037","11265","..","1245","..","76963",""
"18A.7","2025","Descriptive data","All ages","All people","All households","Inner regional","All households","Community housing","","Community housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","15047","3383","2893","636","616","6976","1","..","29552",""
"18A.7","2025","Descriptive data","All ages","All people","All households","Outer regional","All households","Community housing","","Community housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","2037","542","2492","538","1029","3390","..","737","10765",""
"18A.7","2025","Descriptive data","All ages","All people","All households","Remote","All households","Community housing","","Community housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","62","0","212","191","96","63","..","169","794",""
"18A.7","2025","Descriptive data","All ages","All people","All households","Very remote","All households","Community housing","","Community housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","6","..","132","208","4","0","..","0","351",""
"18A.7","2025","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Providers; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","145","48","128","25","22","61","8","6","443",""
"18A.7","2024-25","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Households; at 30 June","New households assisted","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","5870","3315","1853","1042","1178","1527","438","295","15518",""
"18A.7","2024-25","Descriptive data","All ages","All people","Aboriginal and Torres Strait Islander households","All areas","All households","Community housing","","Community housing","Households; at 30 June","New households assisted","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","1200","241","647","224","253","112","30","113","2820",""
"18A.7","2024","Descriptive data","All ages","All people","Aboriginal and Torres Strait Islander households","All areas","All households","Community housing","","Community housing","Households; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","5868","752","1754","1334","1158","557","41","na","11464",""
"18A.7","2024-25","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","2024-25 dollars","Community housing","Households; at 30 June","Total rent charged in real terms","","","","","Derived from AIHW (unpublished) National Housing Assistance Data Repository; ABS Australian National Accounts: National Income Expenditure and Product","$'000","na","na","na","na","na","na","na","na","na",""
"18A.7","2024","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Applicants on waitlist at 30 June","New greatest need applicants","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","na","120","25011","122","3959","145","470","na","29827",""
"18A.7","2024","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Applicants on waitlist at 30 June","Total (excluding applicants for transfer)","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","na","446","25223","130","13389","424","649","na","40261",""
"18A.7","2024","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Applicants on waitlist at 30 June","Applicants for transfer","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","na","117","5264","259","0","9","26","na","5675",""
"18A.7","2024","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Dwellings; at 30 June","Tenantable","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","48789","16867","11999","7883","12832","9979","1572","731","110652",""
"18A.7","2024","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Dwellings; at 30 June","Untenantable","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","454","1276","548","129","216","160","164","0","2947",""
"18A.7","2024","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","2024-25 dollars","Community housing","Total rents charged for week (at 30 June) in real terms; where both rent charged and household income are known","","","","","","Derived from AIHW (unpublished) National Housing Assistance Data Repository; ABS Australian National Accounts: National Income Expenditure and Product","$'000","8210","2774","1120","1061","2103","1389","266","34","16956",""
"18A.7","2024","Descriptive data","All ages","All people","All households","Major cities","All households","Community housing","","Community housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","37199","14624","6930","6280","11306","..","1725","..","78065",""
"18A.7","2024","Descriptive data","All ages","All people","All households","Inner regional","All households","Community housing","","Community housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","15104","3081","2847","745","617","6829","1","..","29224",""
"18A.7","2024","Descriptive data","All ages","All people","All households","Outer regional","All households","Community housing","","Community housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","2040","486","2429","565","1041","3256","..","443","10261",""
"18A.7","2024","Descriptive data","All ages","All people","All households","Remote","All households","Community housing","","Community housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","62","0","206","200","79","55","..","255","857",""
"18A.7","2024","Descriptive data","All ages","All people","All households","Very remote","All households","Community housing","","Community housing","Dwellings by remoteness; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","6","..","136","222","4","0","..","33","401",""
"18A.7","2024","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Providers; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","157","73","139","26","21","66","8","41","531",""
"18A.7","2023-24","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Households; at 30 June","New households assisted","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","6729","3114","1850","1338","1161","1580","418","na","16190",""
"18A.7","2023-24","Descriptive data","All ages","All people","Aboriginal and Torres Strait Islander households","All areas","All households","Community housing","","Community housing","Households; at 30 June","New households assisted","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","1266","210","630","289","231","89","26","na","2741",""
"18A.7","2023","Descriptive data","All ages","All people","Aboriginal and Torres Strait Islander households","All areas","All households","Community housing","","Community housing","Households; at 30 June","","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","5818","927","1691","1236","1100","530","32","na","11334",""
"18A.7","2023-24","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","2024-25 dollars","Community housing","Households; at 30 June","Total rent charged in real terms","","","","","Derived from AIHW (unpublished) National Housing Assistance Data Repository; ABS Australian National Accounts: National Income Expenditure and Product","$'000","478393","195667","130447","86158","156680","113160","14595","1378","1176478",""
"18A.7","2023","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Applicants on waitlist at 30 June","New greatest need applicants","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","na","128","24882","15","3320","160","509","na","29014",""
"18A.7","2023","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Applicants on waitlist at 30 June","Total (excluding applicants for transfer)","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","na","443","25364","51","13092","427","661","na","40038",""
"18A.7","2023","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Applicants on waitlist at 30 June","Applicants for transfer","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","na","130","4894","177","0","0","34","na","5235",""
"18A.7","2023","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Dwellings; at 30 June","Tenantable","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","49016","15311","11452","7847","12124","9565","1538","488","107341",""
"18A.7","2023","Descriptive data","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Dwellings; at 30 June","Untenantable","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","283","1052","213","131","183","150","157","0","2169",""
